anyo,consejeria,medio,tipo,importe
2017,Familia e Igualdad de Oportunidades,El Adelantado de Segovia,Prensa,9021.97
2014,Cultura y Turismo,El Correo de Burgos,Prensa,72000
2017,Familia e Igualdad de Oportunidades,El Correo de Burgos,Prensa,9853.22
2014,Cultura y Turismo,El País,Prensa,29038.13
2017,Familia e Igualdad de Oportunidades,El Día de Valladolid,Prensa,3999.99
2014,Cultura y Turismo,Gente,Otros Medios,45000
2017,Familia e Igualdad de Oportunidades,ICAL,Agencia,140000
2014,Cultura y Turismo,Gestiona Radio,Radio,2420
2017,Familia e Igualdad de Oportunidades,Nuestrso mayores Publicaciones,Otros Medios,8999.98
2014,Cultura y Turismo,HostelTur,Otros Medios,10406
2017,Familia e Igualdad de Oportunidades,Radio Blanca - Kiss Fm,Otros Medios,9946.2
2014,Cultura y Turismo,La Nueva Crónica de León,Prensa,5000
2017,Fomento y Medio Ambiente,Castilla y León ES Radio,Radio,25000
2014,Cultura y Turismo,La Opinión Correo Zamora,Prensa,9000
2017,Fomento y Medio Ambiente,COPE,Radio,39999.99
2014,Cultura y Turismo,LeonNoticias,Medios Digitales,1597.2
2017,Fomento y Medio Ambiente,Diario de Ávila,Prensa,29834.99
2014,Cultura y Turismo,Lo mejor de las Autonomías,Otros Medios,4983
2017,Fomento y Medio Ambiente,Diario Palentino,Prensa,26824.98
2014,Cultura y Turismo,Más de Arte,Otros Medios,1815
2017,Fomento y Medio Ambiente,El Adelantado de Segovia,Prensa,14999.97
2014,Cultura y Turismo,Onda Cero,Radio,95867.7
2017,Fomento y Medio Ambiente,El Mundo de CyL,Prensa,79999.97
2014,Cultura y Turismo,Promecal Digitales,Medios Digitales,620000
2017,Fomento y Medio Ambiente,Europa Press,Agencia,26000
2014,Cultura y Turismo,Radio Arlanzón,Radio,26000
2017,Fomento y Medio Ambiente,La Gaceta de Salamanca,Prensa,25000
2014,Cultura y Turismo,Revista Fundación Victimas del Terrorismo,Otros Medios,12100
2017,Fomento y Medio Ambiente,La Opinión Correo Zamora,Prensa,9999.92
2014,Cultura y Turismo,Revista Go!,Otros Medios,3025
2017,Fomento y Medio Ambiente,Radio Marca,Otros Medios,9260
2014,Cultura y Turismo,Revista Quercus,Otros Medios,1936
2017,Fomento y Medio Ambiente,SER,Radio,64117.68
2014,Cultura y Turismo,Revista Tam Tam Press,Otros Medios,700
2017,Fomento y Medio Ambiente,Turismo,Otros Medios,2000
2014,Cultura y Turismo,Revista Zona Negativa,Otros Medios,242
2017,Presidencia,Ateneo de Valladolid,Otros Medios,1800
2014,Cultura y Turismo,Televisión Navarra,Otros Medios,8070
2017,Presidencia,BierzoNoticias,Medios Digitales,1019.83
2014,Cultura y Turismo,Turismo,Otros Medios,14000
2017,Presidencia,CyL Exterior,Otros Medios,60690
2014,Cultura y Turismo,Unidad Editorial,Prensa,16214
2017,Presidencia,Diario crítico,Medios Digitales,39763.61
2014,Economía y Hacienda,CyL Economica (La Meseta Ediciones),Prensa,3773
2017,Presidencia,Diario de Ávila,Prensa,42170.79
2014,Economía y Hacienda,Diario de Ávila,Prensa,51089.14
