anyo,consejeria,medio,tipo,importe
2015,Presidencia,Diario Palentino,Prensa,41764.25
2019,Agricultura y Ganadería,La Nueva Crónica de León,Prensa,9999.44
2015,Presidencia,El Correo de Burgos,Prensa,26358.27
2019,Agricultura y Ganadería,La Razón CyL,Prensa,35000
2015,Presidencia,El Heraldo de Soria,Prensa,16488.81
2019,Agricultura y Ganadería,Onda Cero,Radio,102427.93
2015,Presidencia,El Mundo de CyL,Prensa,90292.97
2019,Agricultura y Ganadería,Radio Intereconomía,Otros Medios,6500
2015,Presidencia,Gaceta Médica,Otros Medios,4946.48
2019,Agricultura y Ganadería,Radio Televisión Castilla y León,Otros Medios,65000
2015,Presidencia,Gaceta Negocios,Medios Digitales,22966.5
2019,Agricultura y Ganadería,Revista Tierra,Otros Medios,12370
2015,Presidencia,Gente,Otros Medios,48712
2019,Agricultura y Ganadería,SER,Radio,57999.99
2015,Presidencia,Global Médica,Otros Medios,6718.16
2019,Cultura y Turismo,20 Minutos,Medios Digitales,11212
2015,Presidencia,ICAL,Agencia,189000
2019,Cultura y Turismo,ABC,Prensa,80024.16
2015,Presidencia,La Opinión Correo Zamora,Prensa,23303.75
2019,Cultura y Turismo,Arte Informado,Otros Medios,1200
2015,Presidencia,LaVozdeMedina,Medios Digitales,5060.19
2019,Cultura y Turismo,Ávila con niños,Otros Medios,635.25
2015,Presidencia,Publico,Medios Digitales,48560
2019,Cultura y Turismo,CastillayLeónesDeporte,Medios Digitales,6000
2015,Presidencia,Salamanca24horas,Medios Digitales,45326.81
2019,Cultura y Turismo,Diario de Burgos,Prensa,160353.38
2015,Presidencia,SER,Radio,39169.01
2019,Cultura y Turismo,Diario Palentino,Prensa,105335.45
2015,Sanidad,Diario de Burgos,Prensa,28999.98
2019,Cultura y Turismo,El Norte de Castilla,Prensa,519998.23
2015,Sanidad,Diario Soria / El Heraldo,Prensa,20999.98
2019,Cultura y Turismo,Expreso.es,Otros Medios,1210
2015,Sanidad,EFE,Agencia,30999.99
2019,Cultura y Turismo,Gente,Otros Medios,70297.2
2015,Sanidad,El Adelantado de Segovia,Prensa,4999.98
2019,Cultura y Turismo,Grupo Noticias,Prensa,11244
2015,Sanidad,El Mundo de CyL,Prensa,39999.98
2019,Cultura y Turismo,La Gaceta de Salamanca,Prensa,136231.16
2015,Sanidad,Europa Press,Agencia,26000
2019,Cultura y Turismo,La Nueva Crónica de León,Prensa,10762.16
2015,Sanidad,SER,Radio,7999.93
2019,Cultura y Turismo,Lo mejor de las Autonomías,Otros Medios,1210
2016,Agricultura y Ganadería,Campo AGR021,Otros Medios,9000
2019,Cultura y Turismo,Lola la Mota,Otros Medios,1391.5
2016,Agricultura y Ganadería,COPE,Radio,71995.98
2019,Cultura y Turismo,Onda Cero,Radio,116391.52
2016,Agricultura y Ganadería,Diario Palentino,Prensa,64999.96
2019,Cultura y Turismo,Revista ArchiLetras,Otros Medios,10890
2016,Agricultura y Ganadería,El Correo de Burgos,Prensa,19999.99
2019,Cultura y Turismo,Revista Geoparques,Otros Medios,2000
2016,Agricultura y Ganadería,El Economista,Otros Medios,29999.98
2019,Cultura y Turismo,Revista Quercus,Otros Medios,2147.15
2016,Agricultura y Ganadería,El Mundo de CyL,Prensa,77999.97
2019,Cultura y Turismo,Revista Tierra,Otros Medios,3025
2016,Agricultura y Ganadería,El Mundo Digital,Medios Digitales,19999.99
2019,Cultura y Turismo,Salamanca al día,Medios Digitales,1089
2016,Agricultura y Ganadería,ICAL,Agencia,140000
2019,Cultura y Turismo,Sapos y Princesas,Otros Medios,6921.2
2016,Agricultura y Ganadería,La Gaceta de Salamanca,Prensa,99999.95
2019,Cultura y Turismo,SER,Radio,87655.34
2016,Agricultura y Ganadería,La Nueva Crónica de León,Prensa,9997.26
2019,Cultura y Turismo,Time Out,Otros Medios,605
2016,Agricultura y Ganadería,La Opinión Correo Zamora,Prensa,9999.98
2019,Cultura y Turismo,Web Archivo Histórico Minero,Otros Medios,3630
2016,Agricultura y Ganadería,Radio Televisión Castilla y León,Otros Medios,65000
2019,Economía y Hacienda,ABC,Prensa,54307.4175
2016,Agricultura y Ganadería,SM2 Asesores Creativos de Publicidad,Otros Medios,1996.5
2019,Economía y Hacienda,Adelantado de Segovia,Prensa,31810.24
2016,Cultura y Turismo,Descubrir el Arte,Otros Medios,2541
2019,Economía y Hacienda,Diario de León,Prensa,92970.89
2016,Cultura y Turismo,DesdeSoria,Medios Digitales,400
2019,Economía y Hacienda,Diario Palentino,Prensa,52389.97
2016,Cultura y Turismo,Diario Soria / El Heraldo,Prensa,36000
2019,Economía y Hacienda,El Día de Valladolid,Prensa,3593.7
2016,Cultura y Turismo,EFE,Agencia,31000
2019,Economía y Hacienda,El Economista,Otros Medios,9077.35
2016,Cultura y Turismo,El Adelantado de Segovia,Prensa,15000
2019,Economía y Hacienda,El Mundo de CyL,Prensa,129308.829
2016,Cultura y Turismo,El Correo de Burgos,Prensa,80000
2019,Educación,ABC CyL,Prensa,126999.56
2016,Cultura y Turismo,El Economista,Otros Medios,2000
2019,Educación,Diario de León,Prensa,44999.93
2016,Cultura y Turismo,El Norte de Castilla,Prensa,490000
2019,Educación,Diario Palentino,Prensa,79071.28
2016,Cultura y Turismo,El País,Prensa,51643
2019,Educación,El Norte de Castilla,Prensa,197629.48
2016,Cultura y Turismo,Europa Press,Agencia,26000
2019,Educación,El País,Prensa,850
2016,Cultura y Turismo,Exit Express,Otros Medios,2800
2019,Educación,Kiosco y Más,Otros Medios,246.68
2016,Cultura y Turismo,ExpoCultur,Otros Medios,3500
2019,Educación,La Gaceta de Salamanca,Prensa,15574.53
2016,Cultura y Turismo,Hola Viajes,Otros Medios,9525.3
2019,Educación,Sector Ejecutivo,Otros Medios,5000
2016,Cultura y Turismo,Infortursa,Otros Medios,8809.5
2019,Empleo,Antonio Carrasco López (Quiosco),Otros Medios,2865.3
2016,Cultura y Turismo,La Nueva Crónica de León,Prensa,10000
2019,Empleo,Castilla y León Económica,Otros Medios,9293.2
2016,Cultura y Turismo,La Razón CyL,Prensa,65000
2019,Empleo,Castilla y León ES Radio,Radio,16937.46
2016,Cultura y Turismo,Puerta de Embarque,Otros Medios,7865
2019,Empleo,César Fernández López (Quiosco),Otros Medios,268
2016,Cultura y Turismo,Radio Arlanzón,Radio,2000
2019,Empleo,CL Comunicación,Agencia,18140.01
2016,Cultura y Turismo,Radio Intereconomía,Otros Medios,2000
2019,Empleo,Diario Soria / El Heraldo,Prensa,29369.3
2016,Cultura y Turismo,Radio Televisión Castilla y León,Otros Medios,9235.37
2019,Empleo,Ediciones El País SL,Otros Medios,671.4
2016,Cultura y Turismo,Revista Artez,Otros Medios,1137.4
2019,Empleo,EFE,Agencia,30999.99
2016,Cultura y Turismo,Revista Fundación Victimas del Terrorismo,Otros Medios,1210
2019,Empleo,El Mundo de CyL,Prensa,37527.36
2016,Cultura y Turismo,Revista Oficial Estaciones de Esquí,Otros Medios,363
2019,Empleo,Entorno de Publicidad SLU,Otros Medios,5263.5
2016,Cultura y Turismo,Revista On,Otros Medios,1706.1
2019,Familia e Igualdad de Oportunidades,ABC CyL,Prensa,40010.11
2016,Cultura y Turismo,Salamanca al día,Medios Digitales,1000
2019,Familia e Igualdad de Oportunidades,Bayard Revistas,Otros Medios,5000
2016,Cultura y Turismo,SER,Radio,74210.56
2019,Familia e Igualdad de Oportunidades,DeReojo,Otros Medios,17847.5
2016,Cultura y Turismo,Turismo,Otros Medios,65000
2019,Familia e Igualdad de Oportunidades,Diario de Ávila,Prensa,49759.97
2016,Economía y Hacienda,Adelantado de Segovia,Prensa,41582.69
2019,Familia e Igualdad de Oportunidades,El Adelantado de Segovia,Prensa,15057.95
2016,Economía y Hacienda,"ADSOLUT, S.L",Otros Medios,112962.26
2019,Familia e Igualdad de Oportunidades,El Correo de Burgos,Prensa,14997.58
2016,Economía y Hacienda,Castilla y León ES Radio,Radio,21074.64
2019,Familia e Igualdad de Oportunidades,Gaceta CyL - Esther Duque,Otros Medios,14999.16
2016,Economía y Hacienda,CyL Economica (La Meseta Ediciones),Prensa,10044.07
2019,Familia e Igualdad de Oportunidades,Nuestrso mayores Publicaciones,Otros Medios,8999.98
2016,Economía y Hacienda,Diario Palentino,Prensa,59288.93
2019,Familia e Igualdad de Oportunidades,Onda Cero,Radio,61999.46
2016,Economía y Hacienda,El Correo de Burgos,Prensa,52614.1
2019,Familia e Igualdad de Oportunidades,SoriaNoticias,Medios Digitales,1452
2016,Economía y Hacienda,La Razón CyL,Prensa,68570.09
2019,Familia e Igualdad de Oportunidades,Zamora 49,Otros Medios,1936
2016,Economía y Hacienda,Opinión de Zamora,Prensa,53195.05
2019,Fomento y Medio Ambiente,Diario de Soria (El Mundo),Prensa,3000
2016,Economía y Hacienda,SER,Radio,55287.94
2019,Fomento y Medio Ambiente,EFE,Agencia,40000
2016,Educación,ABC CyL,Prensa,97384.3
2019,Fomento y Medio Ambiente,El Adelantado de Segovia,Prensa,12249.98
2016,Educación,Castilla y León Económica,Otros Medios,52804.7
2019,Fomento y Medio Ambiente,El Mundo de CyL,Prensa,84999.98
2016,Educación,Castilla y León ES Radio,Radio,10000
2019,Fomento y Medio Ambiente,ICAL,Agencia,140000
2016,Educación,COPE,Radio,15000
2019,Fomento y Medio Ambiente,La Gaceta de Salamanca,Prensa,33999.98
2016,Educación,El Adelantado de Segovia,Prensa,14364.99
2019,Fomento y Medio Ambiente,La Nueva Crónica de León,Prensa,11995.81
2016,Educación,El Día de Valladolid,Prensa,110649.12
2019,Fomento y Medio Ambiente,La Opinión Correo Zamora,Prensa,13509.96
2016,Educación,El Mundo de CyL,Prensa,109526.96
2019,Fomento y Medio Ambiente,Onda Cero,Radio,56857.95
2016,Educación,El Norte de Castilla,Prensa,187449.85
2019,Fomento y Medio Ambiente,Sector Ejecutivo,Otros Medios,5000
2016,Educación,Kiosco y Más,Otros Medios,229.99
2019,Fomento y Medio Ambiente,SER,Radio,63148.62
2016,Empleo,ABC CyL,Prensa,15341.77
2019,Presidencia,AhoraLeón,Medios Digitales,5553.9
2016,Empleo,Castilla y León Económica,Otros Medios,33
2019,Presidencia,Ávila Red,Medios Digitales,16952.1
2016,Empleo,Castilla y León ES Radio,Radio,9899.99
2019,Presidencia,CastillayLeónesDeporte,Medios Digitales,34040
2016,Empleo,CL Comunicación,Agencia,20000
2019,Presidencia,DesdeSoria,Medios Digitales,17206.2
2016,Empleo,COPE,Radio,17200.8
2019,Presidencia,Diario de Ávila,Prensa,36349.98
2016,Empleo,El Norte de Castilla,Prensa,29231.26
2019,Presidencia,Diario de León,Prensa,50030.1
2016,Empleo,ICAL,Agencia,140000
2019,Presidencia,Diario Soria / El Heraldo,Prensa,20037.48
2016,Empleo,Onda Cero,Radio,15863.1
2019,Presidencia,El Día de Valladolid,Prensa,25999.99
2016,Empleo,Orbit,Otros Medios,2049.99
2019,Presidencia,El Norte de Castilla,Prensa,138569.72
2016,Familia e Igualdad de Oportunidades,ABC CyL,Prensa,32808.32
2019,Presidencia,EsDiario,Medios Digitales,17995.74
2016,Familia e Igualdad de Oportunidades,Bayard Revistas,Otros Medios,2499.99
2019,Presidencia,Gaceta Negocios,Medios Digitales,20364.3
2016,Familia e Igualdad de Oportunidades,Castilla y León ES Radio,Radio,10000
2019,Presidencia,Inter Radio,Otros Medios,2420
2016,Familia e Igualdad de Oportunidades,Diario de Ávila,Prensa,31374.97
2019,Presidencia,La Gaceta de Salamanca,Prensa,41130
2016,Familia e Igualdad de Oportunidades,Diario Palentino,Prensa,30469.97
2019,Presidencia,La Nueva Crónica de León,Prensa,19045.82
2016,Familia e Igualdad de Oportunidades,EFE,Agencia,30999.99
2019,Presidencia,La Razón CyL,Prensa,62421.33
2016,Familia e Igualdad de Oportunidades,El Correo de Burgos,Prensa,9999.98
2019,Presidencia,La Region Internacional,Otros Medios,4235
2016,Familia e Igualdad de Oportunidades,El Día de Valladolid,Prensa,28749.97
2019,Presidencia,LeonNoticias,Medios Digitales,153670
2016,Familia e Igualdad de Oportunidades,El Mundo de CyL,Prensa,72636.64
2019,Presidencia,Periódico de Carrión,Otros Medios,600
2016,Familia e Igualdad de Oportunidades,El Norte de Castilla,Prensa,94999.88
2019,Presidencia,Radio Internacional,Otros Medios,1210
2016,Familia e Igualdad de Oportunidades,La Gaceta de Salamanca,Prensa,28125.48
2019,Presidencia,Salamanca24horas,Medios Digitales,132212.29
2016,Familia e Igualdad de Oportunidades,La Razón CyL,Prensa,24999.98
2019,Presidencia,SalamancaRTVCyL,Medios Digitales,96316
2016,Familia e Igualdad de Oportunidades,Nuestrso mayores Publicaciones,Otros Medios,8999.98
2019,Presidencia,SoriaNoticias,Medios Digitales,20473.2
2016,Fomento y Medio Ambiente,Diario Soria / El Heraldo,Prensa,21999.98
2019,Presidencia,ZamoraNews,Medios Digitales,18452.02
2016,Fomento y Medio Ambiente,ICAL,Agencia,140000
2019,Sanidad,Diario Palentino,Prensa,29000
2016,Fomento y Medio Ambiente,La Gaceta de Salamanca,Prensa,24999.98
2019,Sanidad,Diario Soria / El Heraldo,Prensa,20000
2016,Fomento y Medio Ambiente,La Opinión Correo Zamora,Prensa,9999.96
2019,Sanidad,Europa Press,Agencia,26000
2016,Fomento y Medio Ambiente,Onda Cero,Radio,45000
2019,Sanidad,La Gaceta de Salamanca,Prensa,14000
2016,Fomento y Medio Ambiente,Turismo,Otros Medios,2000
2019,Sanidad,La Nueva Crónica de León,Prensa,6999.94
2016,Presidencia,ARGI,Otros Medios,23003.31
2019,Sanidad,Onda Cero,Radio,7999.98
2016,Presidencia,Ateneo de Valladolid,Otros Medios,1800
2019,Sanidad,Sector Ejecutivo,Otros Medios,5000
2016,Presidencia,BurgosConecta,Medios Digitales,3808.9
2019,Sanidad,SER,Radio,7000
2016,Presidencia,BurgosNoticias,Medios Digitales,57999.93
2020,Agricultura y Ganadería,ABC,Prensa,106584.96
2016,Presidencia,CyL Mundo,Otros Medios,49700
2020,Agricultura y Ganadería,AgroDigital,Medios Digitales,18000
2016,Presidencia,Diario de Ávila,Prensa,45730
2020,Agricultura y Ganadería,AgroNewsCyL,Medios Digitales,22000
2016,Presidencia,Diario de León,Prensa,79999.99
2020,Agricultura y Ganadería,Alimentos del Futuro - Vitartis,Otros Medios,1816
2016,Presidencia,El Correo de Burgos,Prensa,29999.99
2020,Agricultura y Ganadería,Asoprovac,Medios Digitales,17968.5
2016,Presidencia,El Economista,Otros Medios,7260
2020,Agricultura y Ganadería,Campo AGR021,Otros Medios,22721.38
2016,Presidencia,El Mundo de CyL,Prensa,92000.98
2020,Agricultura y Ganadería,Castilla y León Económica,Otros Medios,20000
2016,Presidencia,ElPeriodistaDigital,Medios Digitales,27215.65
2020,Agricultura y Ganadería,COAG Castilla y León,Otros Medios,18000
2016,Presidencia,Europa Press,Agencia,147000
2020,Agricultura y Ganadería,Diario de Ávila,Prensa,28999.98
2016,Presidencia,Gente,Otros Medios,35000
2020,Agricultura y Ganadería,Diario de Burgos,Prensa,94999.99
2016,Presidencia,Interbenavente,Medios Digitales,6957.5
2020,Agricultura y Ganadería,Diario Soria / El Heraldo,Prensa,25999.98
2016,Presidencia,La Nueva Crónica de León,Prensa,18998.18
2020,Agricultura y Ganadería,El Adelantado de Segovia,Prensa,26999.99
2016,Presidencia,León7Días,Medios Digitales,20993.5
2020,Agricultura y Ganadería,El Confidencial,Medios Digitales,18000
2016,Presidencia,Onda Cero,Radio,14994.96
2020,Agricultura y Ganadería,El Día de Valladolid,Medios Digitales,5000
2016,Presidencia,SER,Radio,16999.74
2020,Agricultura y Ganadería,ICAL,Agencia,141999.97
2016,Presidencia,SoriaNoticias,Medios Digitales,181.5
2020,Agricultura y Ganadería,La Razón CyL,Prensa,77442.28
2016,Presidencia,Tribuna Digital,Medios Digitales,48884.27
2020,Agricultura y Ganadería,Radio Intereconomía,Otros Medios,6500
2016,Presidencia,Zamora24horas,Medios Digitales,9177.19
2020,Agricultura y Ganadería,Radio Televisión Castilla y León,Otros Medios,64999.99
2016,Sanidad,ABC CyL,Prensa,21996.62
2020,Agricultura y Ganadería,Revista Tierras Agricultura,Otros Medios,17999.96
2016,Sanidad,Diario Palentino,Prensa,29999.99
2020,Agricultura y Ganadería,Sector Ejecutivo,Otros Medios,3369.85
2016,Sanidad,El Adelantado de Segovia,Prensa,5000
2020,Agricultura y Ganadería,SER,Radio,80999.6
2016,Sanidad,Onda Cero,Radio,8000
2020,Agricultura y Ganadería,Shine Ibérica,Otros Medios,63087
2017,Agricultura y Ganadería,COPE,Radio,92745.24
2020,Agricultura y Ganadería,Sociedad Cooperativa Acor,Otros Medios,1599.88
2017,Agricultura y Ganadería,Diario de Burgos,Prensa,61250
2020,Agricultura y Ganadería,Televisión Navarra,Otros Medios,36000
2017,Agricultura y Ganadería,El Mundo de CyL,Prensa,77999.98
2020,Cultura y Turismo,Antena NOVA,Otros Medios,53150.59
2017,Agricultura y Ganadería,El Norte de Castilla Digital,Medios Digitales,63000
2020,Cultura y Turismo,Antena3,Otros Medios,112998.72
2017,Agricultura y Ganadería,Empresa Agraria Digital,Medios Digitales,2726
2020,Cultura y Turismo,Cinco Días,Otros Medios,605.06
2017,Agricultura y Ganadería,ICAL,Agencia,140000
2020,Cultura y Turismo,Codalariocom,Medios Digitales,484
2017,Agricultura y Ganadería,La Nueva Crónica de León,Prensa,9999.43
2020,Cultura y Turismo,COPE,Radio,262868.19
2017,Agricultura y Ganadería,Revista Go!,Otros Medios,3900
2020,Cultura y Turismo,Diario de Burgos,Prensa,122615.16
2017,Agricultura y Ganadería,SER,Radio,54998.89
2020,Cultura y Turismo,Diario de León,Prensa,119931.96
2017,Agricultura y Ganadería,Shine Ibérica,Otros Medios,18729.49
2020,Cultura y Turismo,Diario Soria / El Heraldo,Prensa,58358.34
2017,Agricultura y Ganadería,Turismo,Otros Medios,1500
2020,Cultura y Turismo,Docenotascom,Medios Digitales,544.5
2017,Cultura y Turismo,ABC,Prensa,78000
2020,Cultura y Turismo,EFE,Agencia,30999.99
2017,Cultura y Turismo,COPE,Radio,61000
2020,Cultura y Turismo,El Mundo de CyL,Prensa,208619.86
2017,Cultura y Turismo,Europa Press,Agencia,26000
2020,Cultura y Turismo,El Norte de Castilla,Prensa,275954.55
2017,Cultura y Turismo,Exit Express,Otros Medios,2800
2020,Cultura y Turismo,El Periódico,Otros Medios,8772.64
2017,Cultura y Turismo,Hola Viajes,Otros Medios,9525.3
2020,Cultura y Turismo,Elcompositorhablacom,Medios Digitales,145.2
2017,Cultura y Turismo,La Gaceta de Salamanca,Prensa,131000
2020,Cultura y Turismo,Europa FM - Onda Cero,Otros Medios,8566.33
2017,Cultura y Turismo,La Nueva Crónica de León,Prensa,10290
2020,Cultura y Turismo,FDF + BeMad,Otros Medios,21235.34
2017,Cultura y Turismo,La Opinión Correo Zamora,Prensa,12000
2020,Cultura y Turismo,Hola Viajes,Otros Medios,4840
2017,Cultura y Turismo,La ventana del Arte,Otros Medios,1500
2020,Cultura y Turismo,ICAL,Agencia,35500
2017,Cultura y Turismo,Más de Arte,Otros Medios,2800
2020,Cultura y Turismo,Infortursa,Otros Medios,4779.28
2017,Cultura y Turismo,National Geographic,Otros Medios,9680
2020,Cultura y Turismo,klassikbideaeus,Medios Digitales,605
2017,Cultura y Turismo,Promecal Digitales,Medios Digitales,551738.88
2020,Cultura y Turismo,La Gaceta de Salamanca,Prensa,130510.93
2017,Cultura y Turismo,Radio Televisión Castilla y León,Otros Medios,4500
2020,Cultura y Turismo,La Opinión Correo Zamora,Prensa,69523.89
2017,Cultura y Turismo,Revista Aire Libre,Otros Medios,3025
2020,Cultura y Turismo,La Razón CyL,Prensa,89575.3
2017,Cultura y Turismo,Revista Artez,Otros Medios,2274.8
2020,Cultura y Turismo,La Sexta,Otros Medios,79181.21
2017,Cultura y Turismo,Revista Go!,Otros Medios,10057.8
2020,Cultura y Turismo,La Tribuna de Ciudad Real,Otros Medios,1299.95
2017,Cultura y Turismo,Revista Godot,Otros Medios,363
2020,Cultura y Turismo,Mas Tribuna,Otros Medios,8000
2017,Cultura y Turismo,Revista Oficial Estaciones de Esquí,Otros Medios,363
2020,Cultura y Turismo,Mediamax,Otros Medios,30183.69
2017,Cultura y Turismo,Salamanca al día,Medios Digitales,1000
2020,Cultura y Turismo,melomanodigitalcom,Medios Digitales,1089
2017,Cultura y Turismo,Sapos y Princesas,Otros Medios,2541
2020,Cultura y Turismo,National Geographic,Otros Medios,3630.11
2017,Cultura y Turismo,Unidad Editorial,Prensa,58725
2020,Cultura y Turismo,Onda Cero,Radio,176230.09
2017,Economía y Hacienda,Consulting Información Empresarial,Otros Medios,1936
2020,Cultura y Turismo,Operaactualcom,Medios Digitales,484
2017,Economía y Hacienda,CyL Economica (La Meseta Ediciones),Prensa,10665.21
2020,Cultura y Turismo,Radio Televisión Castilla y León,Otros Medios,6147.32
2017,Economía y Hacienda,Diario de Burgos,Prensa,82215.11
2020,Cultura y Turismo,ritmoes,Medios Digitales,726
2017,Economía y Hacienda,Diario Soria / El Heraldo,Prensa,70368.88
2020,Cultura y Turismo,SER,Radio,274811.17
2017,Economía y Hacienda,El Día de Soria,Prensa,2420
2020,Cultura y Turismo,SIC TV - Portugal,Otros Medios,39436.24
2017,Economía y Hacienda,El Día de Valladolid,Prensa,1210
2020,Economía y Hacienda,Castilla y León Económica,Otros Medios,27975.4
2017,Economía y Hacienda,El Mundo de CyL,Prensa,157256
2020,Economía y Hacienda,Diario de Burgos,Prensa,85023.5
2017,Economía y Hacienda,El Norte de Castilla,Prensa,181087.46
2020,Economía y Hacienda,El Norte de Castilla,Prensa,162280.17
2017,Economía y Hacienda,ICAL,Agencia,140000
2020,Economía y Hacienda,Europa Press,Agencia,26000
2017,Economía y Hacienda,La Razón CyL,Prensa,70786.24
2020,Economía y Hacienda,Onda Cero,Radio,80145.74
2017,Economía y Hacienda,Onda Cero,Radio,67516.58
2020,Economía y Hacienda,Sector Ejecutivo,Otros Medios,10109.55
2017,Economía y Hacienda,SER,Radio,108581.08
2020,Economía y Hacienda,SER,Radio,149278.18
2017,Educación,ABC CyL,Prensa,144941.13
2020,Educación,Castilla y León Económica,Otros Medios,21280.75
2017,Educación,Castilla y León ES Radio,Radio,10000
2020,Educación,Diario de Burgos,Prensa,64416.37
2017,Educación,Diario de León,Prensa,39840
2020,Educación,El Correo de Burgos,Prensa,11026.31
2017,Educación,El Adelantado de Segovia,Prensa,14365
2020,Educación,El Día de Valladolid,Medios Digitales,2904.16
2017,Educación,El País,Prensa,770
2020,Educación,El Norte de Castilla,Prensa,153299.86
2017,Educación,Europa Press,Agencia,25999.83
2020,Educación,Europa Press,Agencia,26000
2017,Educación,La Nueva Crónica de León,Prensa,7000
2020,Educación,ICAL,Agencia,162000
2017,Empleo,Castilla y León ES Radio,Radio,23244.12
2020,Educación,La Opinión Correo Zamora,Prensa,28333.99
2017,Empleo,Diario de Ávila,Prensa,41161.4
2020,Educación,Onda Cero,Radio,7263.48
2017,Empleo,Diario Soria / El Heraldo,Prensa,25845.6
2020,Educación,Tribuna Universitaria,Otros Medios,3267
2017,Empleo,Ediciones El País SL,Otros Medios,631.4
2020,Empleo,Castilla y León Económica,Otros Medios,16252.72
2017,Empleo,EFE,Agencia,30999.99
2020,Empleo,Diario de León,Prensa,73202.19
2017,Empleo,Europa Press,Agencia,26000
2020,Empleo,El Día de Segovia,Medios Digitales,1024
2017,Empleo,Félix Fernández Alonso (Quiosco),Otros Medios,66.6
2020,Empleo,El Día de Soria,Medios Digitales,510
2017,Empleo,ICAL,Agencia,140000
2020,Empleo,El Economista,Otros Medios,25888.74
2017,Empleo,La Gaceta de Salamanca,Prensa,42499.92
2020,Empleo,Europa Press,Agencia,26000
2017,Empleo,La Nueva Crónica de León,Prensa,17068.5
2020,Empleo,Fine Food Digest,Otros Medios,3627.79
2017,Empleo,La Opinión Correo Zamora,Prensa,11570.64
2020,Empleo,La Nueva Crónica de León,Prensa,34172.58
2017,Empleo,Orbit,Otros Medios,1239.91
2020,Empleo,La Razón CyL,Prensa,59503.98
2017,Empleo,SM2 Asesores Creativos de Publicidad,Otros Medios,25518
2020,Empleo,SER,Radio,72262.04
2017,Familia e Igualdad de Oportunidades,CL Comunicación,Agencia,19349.99
2020,Empleo,Wine Spectator,Otros Medios,14999
2017,Familia e Igualdad de Oportunidades,Diario de Burgos,Prensa,47379.76
2020,Familia e Igualdad de Oportunidades,La Gaceta de Salamanca,Prensa,60251.61
2017,Familia e Igualdad de Oportunidades,Diario de León,Prensa,20858.2
2020,Familia e Igualdad de Oportunidades,Nuestros mayores Publicaciones,Otros Medios,11529.99
2017,Familia e Igualdad de Oportunidades,El Mundo de CyL,Prensa,72969.96
2020,Familia e Igualdad de Oportunidades,Senda Editorial,Otros Medios,10249.99
2017,Familia e Igualdad de Oportunidades,El País,Prensa,4642.46
2020,Familia e Igualdad de Oportunidades,SER,Radio,55309.98
2017,Familia e Igualdad de Oportunidades,Iglesias Comunicación,Otros Medios,8941.9
2020,Fomento y Medio Ambiente,ABC,Prensa,27505.93
2017,Familia e Igualdad de Oportunidades,La Gaceta de Salamanca,Prensa,24420.07
2020,Fomento y Medio Ambiente,Diario de Ávila,Prensa,9416.58
2017,Familia e Igualdad de Oportunidades,La Opinión Correo Zamora,Prensa,10731.77
2020,Fomento y Medio Ambiente,Diario de Burgos,Prensa,51326.69
2017,Familia e Igualdad de Oportunidades,Senda Editorial,Otros Medios,8000
2020,Fomento y Medio Ambiente,Diario de León,Prensa,56630.75
2017,Familia e Igualdad de Oportunidades,SER,Radio,37999.99
2020,Fomento y Medio Ambiente,Diario Palentino,Prensa,17206.16
2017,Fomento y Medio Ambiente,Diario Soria / El Heraldo,Prensa,22997.96
2020,Fomento y Medio Ambiente,Diario Soria / El Heraldo,Prensa,11937.85
2017,Fomento y Medio Ambiente,El Correo de Burgos,Prensa,30000
2020,Fomento y Medio Ambiente,ICAL,Agencia,140000
2017,Fomento y Medio Ambiente,El Día de Valladolid,Prensa,60739.99
2020,Fomento y Medio Ambiente,La Gaceta de Salamanca,Prensa,58216.95
2017,Fomento y Medio Ambiente,El Norte de Castilla,Prensa,102499.84
2020,Fomento y Medio Ambiente,La Opinión Correo Zamora,Prensa,25140.7
2017,Fomento y Medio Ambiente,ICAL,Agencia,140000
2014,Agricultura y Ganadería,ABC CyL,Prensa,60609.99
2020,Fomento y Medio Ambiente,La Razón CyL,Prensa,37178.57
2017,Fomento y Medio Ambiente,Onda Cero,Radio,50807.96
2014,Agricultura y Ganadería,CM Vocento,Prensa,21749.992
2020,Fomento y Medio Ambiente,Revista Tierras Agricultura,Otros Medios,4999.72
2017,Presidencia,Ahora Benavente,Medios Digitales,3067.1
2014,Agricultura y Ganadería,Diario Palentino,Prensa,32062.49
2020,Fomento y Medio Ambiente,Sector Ejecutivo,Otros Medios,3369.85
2017,Presidencia,ARGI,Otros Medios,22997.41
2014,Agricultura y Ganadería,Diario Soria / El Heraldo,Prensa,22991.78
2020,Fomento y Medio Ambiente,Turismo,Otros Medios,3000
2017,Presidencia,BierzoDigital,Medios Digitales,29700.24
2014,Agricultura y Ganadería,El Día de Valladolid,Prensa,32062.5
2020,Presidencia,Abulens,Medios Digitales,5698.29
2017,Presidencia,DesdeSoria,Medios Digitales,7186.34
2014,Agricultura y Ganadería,Europa Press,Agencia,33260
2020,Presidencia,Ávila Red,Medios Digitales,25595.8
2017,Presidencia,Diario de León,Prensa,79999.99
2014,Agricultura y Ganadería,Foro Arekuna,Medios Digitales,3025
2020,Presidencia,Benavente Digital,Medios Digitales,3375
2017,Presidencia,Diario Palentino,Prensa,39035.8
2014,Agricultura y Ganadería,ICAL,Agencia,161750
